value, keys inserted, insertion time (s), keys retrieved, retrieval time (s)
1, 100000,0.006799,100000,10.101705
2, 100000,0.018610,100000,5.464477
3, 100000,0.021386,100000,3.735940
4, 100000,0.032888,100000,3.562173
5, 100000,0.052553,100000,3.736089
6, 100000,0.044341,100000,3.496972
7, 100000,0.045310,100000,3.961922
8, 100000,0.078532,100000,5.023616
9, 100000,0.034515,100000,3.802774
10, 100000,0.063793,100000,3.729133
11, 100000,0.041432,100000,3.741136
12, 100000,0.087992,100000,3.428248
13, 100000,0.069982,100000,3.509546
14, 100000,0.075131,100000,3.665345
15, 100000,0.093928,100000,3.648643
16, 100000,0.045420,100000,3.417936
17, 100000,0.117854,100000,3.519841
18, 100000,0.116285,100000,3.408627
19, 100000,0.092014,100000,3.442426
20, 100000,0.117630,100000,3.564160
21, 100000,0.054071,100000,3.575179
22, 100000,0.068413,100000,3.570020
23, 100000,0.084916,100000,4.097881
24, 100000,0.064618,100000,3.775209
25, 100000,0.151192,100000,3.872134
26, 100000,0.079903,100000,3.878336
27, 100000,0.095084,100000,4.141892
28, 100000,0.096580,100000,3.643624
29, 100000,0.077097,100000,4.441511
30, 100000,0.098569,100000,3.812791
31, 100000,0.072736,100000,3.606715
32, 100000,0.090017,100000,3.524941
33, 100000,0.118014,100000,3.991453
34, 100000,0.187948,100000,4.434868
35, 100000,0.135746,100000,4.088438
36, 100000,0.105890,100000,3.702280
37, 100000,0.108480,100000,4.059726
38, 100000,0.093476,100000,3.841471
39, 100000,0.120380,100000,3.970441
40, 100000,0.093699,100000,3.964196
41, 100000,0.120031,100000,4.002863
42, 100000,0.142501,100000,4.052400
43, 100000,0.058572,100000,3.685239
44, 100000,0.123363,100000,3.970079
45, 100000,0.158567,100000,3.800905
46, 100000,0.117280,100000,4.003551
47, 100000,0.115317,100000,4.261162
48, 100000,0.142558,100000,4.417793
49, 100000,0.140055,100000,3.964152
50, 100000,0.110559,100000,4.033970
51, 100000,0.126948,100000,3.903844
52, 100000,0.194316,100000,4.239565
53, 100000,0.102252,100000,3.767905
54, 100000,0.128077,100000,4.129423
55, 100000,0.137183,100000,4.127568
56, 100000,0.112372,100000,4.035860
57, 100000,0.206866,100000,4.570183
58, 100000,0.135667,100000,4.210542
59, 100000,0.150698,100000,4.270456
60, 100000,0.158432,100000,3.870551
61, 100000,0.139878,100000,3.921939
62, 100000,0.112897,100000,4.208274
63, 100000,0.160489,100000,4.511359
64, 100000,0.115769,100000,3.501562
65, 100000,0.110572,100000,4.102617
66, 100000,0.093316,100000,4.360120
67, 100000,0.106209,100000,3.957370
68, 100000,0.127066,100000,4.230778
69, 100000,0.123441,100000,3.731782
70, 100000,0.094458,100000,4.076265
71, 100000,0.113398,100000,4.306925
72, 100000,0.151541,100000,4.180098
73, 100000,0.135042,100000,6.248566
74, 100000,0.170028,100000,6.978390
75, 100000,0.130766,100000,4.337744
76, 100000,0.124200,100000,3.994244
77, 100000,0.147751,100000,4.662598
78, 100000,0.121071,100000,4.806546
79, 100000,0.188997,100000,4.269525
80, 100000,0.124054,100000,4.269741
81, 100000,0.137690,100000,4.414228
82, 100000,0.119892,100000,4.202603
83, 100000,0.077098,100000,3.886906
84, 100000,0.181865,100000,4.503428
85, 100000,0.115864,100000,4.407720
86, 100000,0.162281,100000,4.104950
87, 100000,0.127095,100000,4.401957
88, 100000,0.102287,100000,4.282075
89, 100000,0.186882,100000,4.319589
90, 100000,0.180280,100000,4.297222
91, 100000,0.199466,100000,4.462044
92, 100000,0.117470,100000,3.716920
93, 100000,0.148281,100000,4.222032
94, 100000,0.186103,100000,4.290053
95, 100000,0.147642,100000,4.313577
96, 100000,0.148809,100000,4.120121
97, 100000,0.138643,100000,4.363561
98, 100000,0.164886,100000,5.130389
99, 100000,0.129071,100000,4.204537
100, 100000,0.140863,100000,5.928365
101, 100000,0.163884,100000,4.324782
102, 100000,0.119985,100000,4.152303
103, 100000,0.150927,100000,4.561324
104, 100000,0.155511,100000,4.371120
105, 100000,0.145998,100000,4.580027
106, 100000,0.177042,100000,4.260442
107, 100000,0.669089,100000,4.390078
108, 100000,0.167316,100000,4.444690
109, 100000,0.161805,100000,4.368614
110, 100000,0.145238,100000,4.096760
111, 100000,0.153922,100000,4.387821
112, 100000,0.226549,100000,4.015540
113, 100000,0.110650,100000,3.962600
114, 100000,0.588190,100000,4.399142
115, 100000,0.143324,100000,4.356036
116, 100000,0.149807,100000,4.177830
117, 100000,0.147077,100000,4.454479
118, 100000,0.153133,100000,4.730874
119, 100000,0.119786,100000,4.201325
120, 100000,0.138596,100000,4.400650
121, 100000,0.150048,100000,4.052998
122, 100000,0.178188,100000,4.642584
123, 100000,0.153474,100000,4.522218
124, 100000,0.139410,100000,4.169110
125, 100000,0.141913,100000,4.218456
126, 100000,0.112242,100000,4.099464
127, 100000,0.120035,100000,4.510638
128, 100000,0.157471,100000,4.204453
129, 100000,0.172614,100000,4.341813
130, 100000,0.212033,100000,4.893183
131, 100000,0.136657,100000,4.283990
132, 100000,0.162545,100000,4.213170
133, 100000,0.203098,100000,4.373838
134, 100000,0.171796,100000,3.603373
135, 100000,0.157137,100000,4.161694
136, 100000,0.170379,100000,4.274149
137, 100000,0.164858,100000,4.442186
138, 100000,0.109699,100000,4.371775
139, 100000,0.146287,100000,3.916573
140, 100000,0.117889,100000,4.080114
141, 100000,0.150119,100000,4.509780
142, 100000,0.123990,100000,4.657781
143, 100000,0.201961,100000,4.138262
144, 100000,0.158310,100000,6.165454
145, 100000,0.172698,100000,11.190196
146, 100000,0.151793,100000,4.537944
147, 100000,0.144286,100000,4.852087
148, 100000,0.328633,100000,3.535296
149, 100000,0.169541,100000,3.589404
150, 100000,0.137862,100000,4.572293
151, 100000,0.133958,100000,4.284431
152, 100000,0.176271,100000,4.629887
153, 100000,0.153235,100000,4.634576
154, 100000,0.160080,100000,4.486284
155, 100000,0.162743,100000,3.383154
156, 100000,0.165926,100000,4.362266
157, 100000,0.177356,100000,4.582488
158, 100000,0.169193,100000,4.857760
159, 100000,0.210747,100000,4.131654
160, 100000,0.169558,100000,4.724638
161, 100000,0.365659,100000,3.754750
162, 100000,0.185859,100000,5.113593
163, 100000,0.232501,100000,3.498572
164, 100000,0.201303,100000,4.436505
165, 100000,0.142444,100000,4.063852
166, 100000,0.157073,100000,4.536512
167, 100000,0.226115,100000,5.514588
168, 100000,0.146892,100000,4.403455
169, 100000,0.152789,100000,4.378261
170, 100000,0.250099,100000,4.498834
171, 100000,0.201420,100000,3.964442
172, 100000,0.270774,100000,4.790174
173, 100000,0.188383,100000,3.966534
174, 100000,0.212458,100000,4.579491
175, 100000,0.188456,100000,4.222996
176, 100000,0.216689,100000,4.643039
177, 100000,0.151871,100000,4.510093
178, 100000,0.274619,100000,4.379586
179, 100000,0.172683,100000,4.576719
180, 100000,0.270523,100000,4.056340
181, 100000,0.261677,100000,3.422626
182, 100000,0.184069,100000,4.513228
183, 100000,0.236922,100000,4.666601
184, 100000,0.197851,100000,4.333217
185, 100000,0.178183,100000,3.803920
186, 100000,0.676080,100000,4.608848
187, 100000,0.132802,100000,4.277095
188, 100000,0.201083,100000,3.834261
189, 100000,0.158959,100000,4.640502
190, 100000,0.248853,100000,3.947267
191, 100000,0.167915,100000,4.160507
192, 100000,0.197046,100000,4.331468
193, 100000,0.226958,100000,3.945688
194, 100000,0.266002,100000,4.223573
195, 100000,0.221038,100000,3.886958
196, 100000,0.155575,100000,4.405570
197, 100000,0.237912,100000,3.829695
198, 100000,0.186471,100000,4.663095
199, 100000,0.221317,100000,4.503113
200, 100000,0.186310,100000,4.708992
201, 100000,0.201366,100000,3.857040
202, 100000,0.275492,100000,3.428032
203, 100000,0.160158,100000,4.601254
204, 100000,0.191027,100000,4.664702
205, 100000,0.249694,100000,3.704774
206, 100000,0.188785,100000,4.539290
207, 100000,0.275090,100000,4.282145
208, 100000,0.184189,100000,4.580440
209, 100000,0.176071,100000,4.341547
210, 100000,0.154730,100000,4.622622
211, 100000,0.205029,100000,4.537431
212, 100000,0.196496,100000,4.546479
213, 100000,0.253126,100000,4.425296
214, 100000,0.434006,100000,3.406680
215, 100000,0.163486,100000,4.156901
216, 100000,0.265217,100000,4.707829
217, 100000,0.206326,100000,3.807982
218, 100000,0.260640,100000,4.017669
219, 100000,0.173038,100000,4.366935
220, 100000,0.350984,100000,3.324275
221, 100000,0.264423,100000,4.075235
222, 100000,0.194860,100000,4.733659
223, 100000,0.178188,100000,4.047945
224, 100000,0.217865,100000,4.236507
225, 100000,0.200929,100000,4.209762
226, 100000,0.230181,100000,4.276027
227, 100000,0.265797,100000,3.974161
228, 100000,0.285149,100000,4.313452
229, 100000,0.299704,100000,3.928108
230, 100000,0.315041,100000,3.537736
231, 100000,0.262546,100000,4.354788
232, 100000,0.153048,100000,4.414668
233, 100000,0.189198,100000,4.171970
234, 100000,0.193131,100000,8.372325
235, 100000,0.724776,100000,6.568410
236, 100000,0.192484,100000,5.641357
237, 100000,0.242602,100000,4.129997
238, 100000,0.319595,100000,3.951273
239, 100000,0.171827,100000,4.494192
240, 100000,0.208841,100000,4.573382
241, 100000,0.231989,100000,3.945265
242, 100000,0.250131,100000,3.759024
243, 100000,0.173074,100000,4.050525
244, 100000,0.194050,100000,4.107773
245, 100000,0.324674,100000,3.649230
246, 100000,0.186325,100000,4.537239
247, 100000,0.194397,100000,4.585783
248, 100000,0.402120,100000,4.641844
249, 100000,0.198024,100000,4.563205
250, 100000,0.269581,100000,3.566889
251, 100000,0.220736,100000,4.242791
252, 100000,0.250897,100000,4.710260
253, 100000,0.378623,100000,3.138210
254, 100000,0.316225,100000,3.917556
255, 100000,0.246796,100000,3.787889
256, 100000,0.212321,100000,4.479519
257, 100000,0.172810,100000,4.347546
258, 100000,0.244582,100000,4.766238
259, 100000,0.220269,100000,4.253395
260, 100000,0.238672,100000,3.642240
261, 100000,0.178721,100000,4.804710
262, 100000,0.319079,100000,4.764062
263, 100000,0.207446,100000,4.644606
264, 100000,0.162281,100000,4.254560
265, 100000,0.209125,100000,4.522423
266, 100000,0.391223,100000,3.399392
267, 100000,0.378564,100000,3.761620
268, 100000,0.171684,100000,4.419689
269, 100000,0.208052,100000,4.589095
270, 100000,0.242860,100000,4.488877
271, 100000,0.213331,100000,4.291566
272, 100000,0.186737,100000,4.404303
273, 100000,0.177109,100000,4.589465
274, 100000,0.364558,100000,3.567814
275, 100000,0.352932,100000,3.564297
276, 100000,0.733001,100000,4.053229
277, 100000,0.293230,100000,4.369739
278, 100000,0.186300,100000,4.716942
279, 100000,0.345865,100000,3.687434
280, 100000,0.246174,100000,4.501570
281, 100000,0.244317,100000,4.238347
282, 100000,0.236944,100000,3.872523
283, 100000,0.260302,100000,4.553984
284, 100000,0.218950,100000,4.192225
285, 100000,0.322619,100000,3.341915
286, 100000,0.163870,100000,4.481311
287, 100000,0.219023,100000,4.820886
288, 100000,0.418376,100000,3.404117
289, 100000,0.205184,100000,4.509383
290, 100000,0.219769,100000,3.863562
291, 100000,0.428214,100000,3.288964
292, 100000,0.181283,100000,4.353344
293, 100000,0.172339,100000,4.554542
294, 100000,0.265192,100000,4.835823
295, 100000,0.275591,100000,4.665197
296, 100000,0.238696,100000,4.682273
297, 100000,0.232275,100000,4.546410
298, 100000,0.269023,100000,3.333061
299, 100000,0.296333,100000,3.475414
300, 100000,0.317206,100000,4.197637
301, 100000,0.230657,100000,4.732197
302, 100000,0.285643,100000,4.239802
303, 100000,0.424928,100000,4.027198
304, 100000,0.160367,100000,5.580706
305, 100000,0.582786,100000,4.631271
306, 100000,0.282660,100000,4.680290
307, 100000,0.322547,100000,4.665336
308, 100000,0.197699,100000,4.683710
309, 100000,0.197205,100000,4.723496
310, 100000,0.253870,100000,3.945439
311, 100000,0.225615,100000,4.122892
312, 100000,0.188653,100000,4.792688
313, 100000,0.244287,100000,4.219580
314, 100000,0.259002,100000,3.948997
315, 100000,0.243597,100000,4.055211
316, 100000,0.421863,100000,3.379309
317, 100000,0.306828,100000,4.258169
318, 100000,0.210915,100000,4.662996
319, 100000,0.267392,100000,4.229225
320, 100000,0.205534,100000,4.217074
321, 100000,0.351121,100000,4.083977
322, 100000,0.209138,100000,4.483872
323, 100000,0.205483,100000,4.518536
324, 100000,0.273128,100000,3.684840
325, 100000,0.457637,100000,3.261568
326, 100000,0.230694,100000,4.620302
327, 100000,0.341000,100000,3.345345
328, 100000,0.252036,100000,4.116769
329, 100000,0.147803,100000,4.408592
330, 100000,0.217930,100000,5.043767
331, 100000,0.214385,100000,4.115928
332, 100000,0.378971,100000,3.984581
333, 100000,0.263977,100000,4.799463
334, 100000,0.470179,100000,3.558990
335, 100000,0.379483,100000,3.775438
336, 100000,0.279713,100000,4.634285
337, 100000,0.283148,100000,3.813311
338, 100000,0.303215,100000,4.068333
339, 100000,0.218037,100000,4.950397
340, 100000,0.235655,100000,4.413035
341, 100000,0.177099,100000,4.829483
342, 100000,0.206542,100000,4.289233
343, 100000,0.431061,100000,3.142090
344, 100000,0.433555,100000,3.594473
345, 100000,0.228093,100000,5.016217
346, 100000,0.404806,100000,4.340826
347, 100000,0.266869,100000,3.990531
348, 100000,0.358106,100000,5.143262
349, 100000,0.312149,100000,4.728576
350, 100000,0.246924,100000,4.931132
351, 100000,0.483969,100000,3.618408
352, 100000,0.183024,100000,4.421574
353, 100000,0.253116,100000,4.317636
354, 100000,0.501159,100000,3.222830
355, 100000,0.289484,100000,3.663470
356, 100000,0.220696,100000,4.843802
357, 100000,0.388736,100000,3.338879
358, 100000,0.236283,100000,4.742352
359, 100000,0.429951,100000,3.721133
360, 100000,0.364694,100000,3.545954
361, 100000,0.550930,100000,4.038022
362, 100000,0.346797,100000,5.023040
363, 100000,1.004551,100000,3.997967
364, 100000,0.322291,100000,3.469657
365, 100000,0.341068,100000,3.584109
366, 100000,0.359360,100000,3.890355
367, 100000,0.199031,100000,4.483423
368, 100000,0.209749,100000,4.211251
369, 100000,0.328176,100000,3.667552
370, 100000,0.294227,100000,4.150178
371, 100000,0.235467,100000,4.383978
372, 100000,0.269593,100000,3.842984
373, 100000,0.179586,100000,4.751612
374, 100000,0.522776,100000,3.324217
375, 100000,0.308137,100000,6.619369
376, 100000,0.278693,100000,8.781616
377, 100000,0.199027,100000,5.477040
378, 100000,0.220793,100000,4.686643
379, 100000,0.274696,100000,4.132907
380, 100000,0.397956,100000,3.431999
381, 100000,0.547128,100000,3.150306
382, 100000,0.285183,100000,4.322794
383, 100000,0.510077,100000,3.426467
384, 100000,0.252945,100000,4.657795
385, 100000,0.418867,100000,3.418309
386, 100000,0.351551,100000,3.802371
387, 100000,0.369543,100000,3.664196
388, 100000,0.265457,100000,4.217466
389, 100000,0.225404,100000,4.804223
390, 100000,0.205199,100000,4.417138
391, 100000,0.263922,100000,4.361921
392, 100000,0.392478,100000,4.416176
393, 100000,0.301379,100000,3.753932
394, 100000,0.478270,100000,3.441437
395, 100000,0.443257,100000,3.762704
396, 100000,0.266836,100000,4.075336
397, 100000,0.519345,100000,3.387932
398, 100000,0.306624,100000,3.612371
399, 100000,0.423686,100000,3.400485
400, 100000,0.317837,100000,4.144954
401, 100000,0.343422,100000,4.023144
402, 100000,0.188882,100000,4.566374
403, 100000,0.236625,100000,4.301735
404, 100000,0.246304,100000,4.249409
405, 100000,0.310632,100000,4.337847
406, 100000,0.319126,100000,3.981143
407, 100000,0.277686,100000,4.751318
408, 100000,0.418010,100000,3.370353
409, 100000,0.214534,100000,6.378160
410, 100000,0.519860,100000,3.326443
411, 100000,0.330246,100000,3.890976
412, 100000,0.628014,100000,3.509626
413, 100000,0.327387,100000,4.171551
414, 100000,0.209452,100000,4.728508
415, 100000,0.371763,100000,3.771362
416, 100000,0.781337,100000,6.650300
417, 100000,0.259944,100000,4.068525
418, 100000,0.284458,100000,4.715348
419, 100000,0.414815,100000,3.408345
420, 100000,0.496185,100000,3.433561
421, 100000,0.334643,100000,3.400846
422, 100000,0.308693,100000,3.760161
423, 100000,0.702874,100000,4.594448
424, 100000,0.364765,100000,3.644020
425, 100000,0.399124,100000,3.546632
426, 100000,0.221842,100000,4.107817
427, 100000,0.255603,100000,5.068643
428, 100000,0.460306,100000,4.189707
429, 100000,0.227802,100000,4.181931
430, 100000,0.565649,100000,3.277265
431, 100000,0.226842,100000,4.688085
432, 100000,0.220466,100000,4.553394
433, 100000,0.311430,100000,4.095189
434, 100000,0.288082,100000,4.213467
435, 100000,0.474753,100000,3.267393
436, 100000,0.262882,100000,4.102233
437, 100000,0.304164,100000,4.033228
438, 100000,0.511454,100000,3.507616
439, 100000,0.438721,100000,3.370409
440, 100000,0.453231,100000,3.919171
441, 100000,0.399841,100000,3.638287
442, 100000,0.560655,100000,3.217693
443, 100000,0.341518,100000,4.280560
444, 100000,0.380459,100000,4.334561
445, 100000,0.341814,100000,6.124468
446, 100000,0.426441,100000,6.715760
447, 100000,0.551032,100000,4.372525
448, 100000,0.455666,100000,3.587351
449, 100000,0.208900,100000,4.649818
450, 100000,0.557098,100000,3.443635
451, 100000,0.432424,100000,4.175894
452, 100000,0.367932,100000,3.636900
453, 100000,0.391913,100000,3.854555
454, 100000,0.237335,100000,4.285183
455, 100000,0.498309,100000,3.804955
456, 100000,0.340403,100000,3.897836
457, 100000,0.423199,100000,3.681489
458, 100000,0.397400,100000,3.885845
459, 100000,0.373777,100000,4.263273
460, 100000,0.424815,100000,3.335701
461, 100000,0.643302,100000,3.360046
462, 100000,0.301596,100000,4.229021
463, 100000,0.274475,100000,3.847695
464, 100000,0.214887,100000,4.070829
465, 100000,0.393740,100000,3.359715
466, 100000,0.221370,100000,4.580812
467, 100000,0.366838,100000,3.801874
468, 100000,0.286338,100000,4.785055
469, 100000,0.344306,100000,4.148143
470, 100000,0.252870,100000,4.423176
471, 100000,0.396341,100000,3.614352
472, 100000,0.370692,100000,3.755325
473, 100000,0.216777,100000,4.244021
474, 100000,0.504506,100000,3.238533
475, 100000,0.280144,100000,4.399639
476, 100000,0.397193,100000,3.581176
477, 100000,0.508498,100000,3.430367
478, 100000,0.469073,100000,3.348616
479, 100000,0.348041,100000,3.615940
480, 100000,0.499847,100000,3.469445
481, 100000,0.413579,100000,3.452240
482, 100000,0.362049,100000,4.071669
483, 100000,0.387455,100000,3.890728
484, 100000,0.571702,100000,3.255067
485, 100000,0.256870,100000,4.250862
486, 100000,0.323538,100000,4.342292
487, 100000,0.368633,100000,3.628857
488, 100000,0.347245,100000,4.040778
489, 100000,0.401683,100000,3.769824
490, 100000,0.579900,100000,3.685218
491, 100000,0.404761,100000,3.675887
492, 100000,0.341821,100000,4.642604
493, 100000,0.474296,100000,3.477240
494, 100000,0.415711,100000,3.466782
495, 100000,0.413895,100000,3.819188
496, 100000,0.543441,100000,3.749154
497, 100000,0.313261,100000,3.426216
498, 100000,0.413960,100000,3.666854
499, 100000,0.265062,100000,5.056628
500, 100000,0.267874,100000,4.995983
